文件名,预测类别,置信度,Top2差距,分歧度,风险等级,Top1,Top2,Top3,审核结果,备注
Screen Shot 2018-06-08 at 2.23.40 PM.jpg,褶皱,64.5%,0.528,0.00,MEDIUM,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.37.19 PM.jpg,虫伤,64.3%,0.515,0.20,MEDIUM,虫伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.28.00 PM.jpg,虫伤,64.3%,0.525,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.25.43 PM.jpg,褶皱,64.0%,0.471,0.20,MEDIUM,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.01.09 PM.jpg,碰伤,64.0%,0.296,0.40,MEDIUM,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.47.37 PM.jpg,虫伤,64.0%,0.409,0.20,MEDIUM,虫伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.55.52 PM.jpg,黑斑,63.7%,0.385,0.20,MEDIUM,黑斑,碰伤,褶皱,,
Screen Shot 2018-06-08 at 2.24.37 PM.jpg,虫伤,63.5%,0.453,0.20,MEDIUM,虫伤,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.51.28 PM.jpg,腐烂,63.4%,0.351,0.40,MEDIUM,腐烂,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.47.54 PM.jpg,褶皱,63.4%,0.476,0.20,MEDIUM,褶皱,合格,黑斑,,
vertical_flip_Screen Shot 2018-06-08 at 2.35.10 PM.jpg,碰伤,63.3%,0.352,0.40,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.58.38 PM.jpg,腐烂,63.2%,0.373,0.20,MEDIUM,腐烂,虫伤,病变,,
saltandpepper_Screen Shot 2018-06-07 at 2.59.38 PM.jpg,腐烂,63.1%,0.427,0.20,MEDIUM,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.47.03 PM.jpg,碰伤,63.0%,0.383,0.20,MEDIUM,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.24.09 PM.jpg,褶皱,63.0%,0.495,0.20,MEDIUM,褶皱,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.29.20 PM.jpg,虫伤,63.0%,0.492,0.40,MEDIUM,虫伤,裂果,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.17.15 PM.jpg,虫伤,62.8%,0.432,0.40,MEDIUM,虫伤,褶皱,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.17.15 PM.jpg,虫伤,62.5%,0.466,0.40,MEDIUM,虫伤,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.42.58 PM.jpg,碰伤,62.3%,0.418,0.00,MEDIUM,碰伤,黑斑,虫伤,,
Screen Shot 2018-06-08 at 2.52.20 PM.jpg,褶皱,62.2%,0.261,0.40,MEDIUM,褶皱,合格,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 3.05.05 PM.jpg,碰伤,62.2%,0.414,0.20,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.31.43 PM.jpg,褶皱,62.1%,0.473,0.40,MEDIUM,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.46.44 PM.jpg,碰伤,62.1%,0.396,0.40,MEDIUM,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 3.01.54 PM.jpg,病变,61.9%,0.462,0.00,MEDIUM,病变,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.28.42 PM.jpg,腐烂,61.9%,0.410,0.20,MEDIUM,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-07 at 2.50.52 PM.jpg,碰伤,61.9%,0.485,0.40,MEDIUM,碰伤,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.47.27 PM.jpg,褶皱,61.7%,0.381,0.40,MEDIUM,褶皱,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.02 PM.jpg,腐烂,61.7%,0.302,0.40,MEDIUM,腐烂,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.02 PM.jpg,腐烂,61.7%,0.286,0.40,MEDIUM,腐烂,碰伤,合格,,
Screen Shot 2018-06-08 at 2.33.49 PM.jpg,腐烂,61.7%,0.466,0.20,MEDIUM,腐烂,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.18 PM.jpg,腐烂,61.7%,0.437,0.20,MEDIUM,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-07 at 3.02.37 PM.jpg,腐烂,61.6%,0.352,0.40,MEDIUM,腐烂,褶皱,碰伤,,
Screen Shot 2018-06-08 at 2.46.08 PM.jpg,褶皱,61.5%,0.412,0.20,MEDIUM,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.23.24 PM.jpg,虫伤,61.3%,0.409,0.20,MEDIUM,虫伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.38.54 PM.jpg,虫伤,61.3%,0.319,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.25.04 PM.jpg,腐烂,61.2%,0.471,0.20,MEDIUM,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.47.49 PM.jpg,褶皱,61.1%,0.323,0.20,MEDIUM,褶皱,合格,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.52.09 PM.jpg,碰伤,60.7%,0.429,0.40,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.50.14 PM.jpg,虫伤,60.5%,0.441,0.20,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.31.59 PM.jpg,虫伤,60.3%,0.282,0.40,MEDIUM,虫伤,合格,黑斑,,
Screen Shot 2018-06-07 at 2.42.25 PM.jpg,合格,60.1%,0.342,0.40,MEDIUM,合格,褶皱,虫伤,,
Screen Shot 2018-06-07 at 2.50.09 PM.jpg,碰伤,60.1%,0.289,0.40,MEDIUM,碰伤,黑斑,腐烂,,
Screen Shot 2018-06-07 at 2.41.32 PM.jpg,合格,60.0%,0.360,0.20,MEDIUM,合格,褶皱,虫伤,,
Screen Shot 2018-06-07 at 3.02.24 PM.jpg,虫伤,59.7%,0.447,0.20,MEDIUM,虫伤,碰伤,合格,,
Screen Shot 2018-06-07 at 3.06.30 PM.jpg,合格,59.5%,0.482,0.00,MEDIUM,合格,黑斑,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.52.00 PM.jpg,碰伤,59.2%,0.310,0.20,MEDIUM,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-08 at 2.25.17 PM.jpg,褶皱,59.2%,0.385,0.20,MEDIUM,褶皱,虫伤,合格,,
Screen Shot 2018-06-07 at 2.40.00 PM.jpg,褶皱,59.1%,0.293,0.40,MEDIUM,褶皱,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.25.04 PM.jpg,腐烂,59.0%,0.424,0.20,MEDIUM,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.41.07 PM.jpg,碰伤,59.0%,0.378,0.40,MEDIUM,碰伤,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.30 PM.jpg,虫伤,58.9%,0.335,0.40,MEDIUM,虫伤,碰伤,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.44.13 PM.jpg,褶皱,58.8%,0.404,0.40,MEDIUM,褶皱,黑斑,腐烂,,
Screen Shot 2018-06-07 at 2.44.51 PM.jpg,褶皱,58.2%,0.203,0.40,MEDIUM,褶皱,合格,腐烂,,
Screen Shot 2018-06-07 at 3.05.05 PM.jpg,腐烂,58.1%,0.376,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.20.29 PM.jpg,腐烂,58.0%,0.350,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.38.47 PM.jpg,腐烂,58.0%,0.212,0.20,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.31.59 PM.jpg,虫伤,57.9%,0.357,0.20,MEDIUM,虫伤,合格,碰伤,,
Screen Shot 2018-06-07 at 2.40.28 PM.jpg,虫伤,57.7%,0.396,0.20,MEDIUM,虫伤,褶皱,病变,,
Screen Shot 2018-06-07 at 2.17.25 PM.jpg,褶皱,57.6%,0.386,0.40,MEDIUM,褶皱,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.56 PM.jpg,虫伤,57.5%,0.296,0.40,MEDIUM,虫伤,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.13 PM.jpg,碰伤,57.5%,0.415,0.40,MEDIUM,碰伤,裂果,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.22.39 PM.jpg,腐烂,57.3%,0.344,0.40,MEDIUM,腐烂,虫伤,合格,,
Screen Shot 2018-06-07 at 3.04.41 PM.jpg,虫伤,57.2%,0.244,0.40,MEDIUM,虫伤,腐烂,合格,,
Screen Shot 2018-06-07 at 2.53.57 PM.jpg,碰伤,57.1%,0.373,0.20,MEDIUM,碰伤,褶皱,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.01 PM.jpg,碰伤,57.0%,0.386,0.20,MEDIUM,碰伤,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.28.00 PM.jpg,虫伤,56.9%,0.359,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.54.49 PM.jpg,虫伤,56.8%,0.233,0.40,MEDIUM,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.46.50 PM.jpg,碰伤,56.8%,0.385,0.40,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.52.22 PM.jpg,褶皱,56.7%,0.403,0.20,MEDIUM,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.13 PM.jpg,碰伤,56.7%,0.222,0.40,MEDIUM,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.24.15 PM.jpg,碰伤,56.6%,0.335,0.20,MEDIUM,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.50.14 PM.jpg,虫伤,56.6%,0.388,0.40,MEDIUM,虫伤,碰伤,腐烂,,
Screen Shot 2018-06-07 at 3.02.02 PM.jpg,腐烂,56.5%,0.192,0.40,MEDIUM,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.46.32 PM.jpg,碰伤,56.5%,0.214,0.40,MEDIUM,碰伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.50.14 PM.jpg,虫伤,56.4%,0.351,0.40,MEDIUM,虫伤,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.26.14 PM.jpg,虫伤,56.2%,0.288,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.26.14 PM.jpg,虫伤,56.1%,0.230,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 3.05.38 PM.jpg,碰伤,56.1%,0.290,0.20,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.41 PM.jpg,虫伤,55.9%,0.258,0.40,MEDIUM,虫伤,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.42.25 PM.jpg,合格,55.9%,0.259,0.40,MEDIUM,合格,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.28.07 PM.jpg,虫伤,55.9%,0.330,0.40,MEDIUM,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.52.20 PM.jpg,褶皱,55.9%,0.329,0.20,MEDIUM,褶皱,合格,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.52.22 PM.jpg,褶皱,55.8%,0.292,0.20,MEDIUM,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.22.39 PM.jpg,腐烂,55.7%,0.319,0.40,MEDIUM,腐烂,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.51.28 PM.jpg,虫伤,55.3%,0.346,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 3.05.13 PM.jpg,褶皱,55.2%,0.370,0.20,MEDIUM,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.07 PM.jpg,虫伤,55.1%,0.376,0.20,MEDIUM,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.52.43 PM.jpg,腐烂,54.9%,0.189,0.20,MEDIUM,腐烂,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.47.49 PM.jpg,褶皱,54.8%,0.174,0.40,MEDIUM,褶皱,合格,黑斑,,
Screen Shot 2018-06-08 at 2.50.49 PM.jpg,腐烂,54.8%,0.341,0.40,MEDIUM,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.29.10 PM.jpg,碰伤,54.7%,0.402,0.40,MEDIUM,碰伤,裂果,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 3.04.41 PM.jpg,虫伤,54.7%,0.217,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.40.13 PM.jpg,碰伤,54.7%,0.167,0.40,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.01 PM.jpg,褶皱,54.7%,0.414,0.20,MEDIUM,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.06.30 PM.jpg,合格,54.5%,0.408,0.40,MEDIUM,合格,黑斑,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.37 PM.jpg,腐烂,54.4%,0.206,0.40,MEDIUM,腐烂,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.23.24 PM.jpg,虫伤,54.4%,0.282,0.40,MEDIUM,虫伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.35.32 PM.jpg,碰伤,54.3%,0.262,0.40,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.21 PM.jpg,碰伤,54.3%,0.337,0.20,MEDIUM,碰伤,黑斑,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.01.09 PM.jpg,腐烂,54.3%,0.137,0.40,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.44.13 PM.jpg,褶皱,54.3%,0.330,0.40,MEDIUM,褶皱,黑斑,腐烂,,
Screen Shot 2018-06-07 at 2.43.13 PM.jpg,碰伤,54.2%,0.382,0.20,MEDIUM,碰伤,裂果,虫伤,,
Screen Shot 2018-06-07 at 2.52.30 PM.jpg,腐烂,53.9%,0.337,0.40,MEDIUM,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.35.10 PM.jpg,碰伤,53.9%,0.149,0.40,MEDIUM,碰伤,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.15.34 PM.jpg,碰伤,53.8%,0.280,0.40,MEDIUM,碰伤,褶皱,虫伤,,
Screen Shot 2018-06-08 at 2.33.04 PM.jpg,虫伤,53.7%,0.365,0.40,MEDIUM,虫伤,病变,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.18 PM.jpg,腐烂,53.7%,0.245,0.40,MEDIUM,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.42.06 PM.jpg,腐烂,53.5%,0.365,0.40,MEDIUM,腐烂,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.33.28 PM.jpg,褶皱,53.5%,0.230,0.40,MEDIUM,褶皱,腐烂,裂果,,
r0_210.jpg,裂果,53.4%,0.082,0.40,MEDIUM,裂果,褶皱,黑斑,,
vertical_flip_Screen Shot 2018-06-08 at 2.42.30 PM.jpg,碰伤,53.4%,0.249,0.40,MEDIUM,碰伤,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.23.51 PM.jpg,虫伤,53.1%,0.323,0.40,MEDIUM,虫伤,合格,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.31.33 PM.jpg,碰伤,53.0%,0.270,0.40,MEDIUM,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.51.55 PM.jpg,褶皱,52.9%,0.400,0.40,MEDIUM,褶皱,黑斑,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.38.33 PM.jpg,腐烂,52.6%,0.290,0.20,MEDIUM,腐烂,虫伤,病变,,
Screen Shot 2018-06-07 at 2.56.34 PM.jpg,腐烂,52.5%,0.116,0.40,MEDIUM,腐烂,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.00.00 PM.jpg,碰伤,52.4%,0.122,0.40,MEDIUM,碰伤,黑斑,病变,,
saltandpepper_Screen Shot 2018-06-08 at 2.47.37 PM.jpg,虫伤,52.4%,0.318,0.40,MEDIUM,虫伤,褶皱,碰伤,,
Screen Shot 2018-06-07 at 2.47.27 PM.jpg,褶皱,52.3%,0.238,0.40,MEDIUM,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-07 at 3.03.12 PM.jpg,黑斑,52.3%,0.175,0.40,MEDIUM,黑斑,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.24 PM.jpg,虫伤,52.3%,0.289,0.40,MEDIUM,虫伤,碰伤,合格,,
Screen Shot 2018-06-07 at 2.41.07 PM.jpg,碰伤,52.2%,0.334,0.40,MEDIUM,碰伤,虫伤,合格,,
Screen Shot 2018-06-08 at 2.36.01 PM.jpg,褶皱,52.2%,0.371,0.40,MEDIUM,褶皱,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.52.44 PM.jpg,合格,52.1%,0.302,0.40,MEDIUM,合格,褶皱,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.40.28 PM.jpg,虫伤,51.8%,0.335,0.40,MEDIUM,虫伤,褶皱,病变,,
vertical_flip_Screen Shot 2018-06-07 at 2.20.29 PM.jpg,腐烂,51.7%,0.157,0.40,MEDIUM,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.31.33 PM.jpg,腐烂,51.6%,0.199,0.40,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.37.53 PM.jpg,虫伤,51.6%,0.336,0.40,MEDIUM,虫伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.19.15 PM.jpg,碰伤,51.5%,0.313,0.40,MEDIUM,碰伤,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.33.49 PM.jpg,腐烂,51.5%,0.327,0.40,MEDIUM,腐烂,褶皱,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.39.21 PM.jpg,碰伤,51.4%,0.207,0.40,MEDIUM,碰伤,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.39.26 PM.jpg,虫伤,51.3%,0.201,0.40,MEDIUM,虫伤,腐烂,褶皱,,
r0_254.jpg,褶皱,51.1%,0.165,0.40,MEDIUM,褶皱,裂果,腐烂,,
Screen Shot 2018-06-07 at 2.41.23 PM.jpg,碰伤,50.9%,0.361,0.20,MEDIUM,碰伤,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.38.33 PM.jpg,虫伤,50.9%,0.221,0.40,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.37.53 PM.jpg,虫伤,50.8%,0.143,0.40,MEDIUM,虫伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.51.55 PM.jpg,褶皱,50.7%,0.365,0.40,MEDIUM,褶皱,黑斑,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.24.59 PM.jpg,褶皱,50.6%,0.300,0.20,MEDIUM,褶皱,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.42.52 PM.jpg,腐烂,50.5%,0.200,0.40,MEDIUM,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.52 PM.jpg,碰伤,50.3%,0.254,0.40,MEDIUM,碰伤,裂果,黑斑,,
Screen Shot 2018-06-08 at 2.31.33 PM.jpg,腐烂,50.2%,0.226,0.40,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.02.02 PM.jpg,碰伤,50.2%,0.032,0.40,MEDIUM,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.39.26 PM.jpg,虫伤,50.2%,0.256,0.40,MEDIUM,虫伤,腐烂,褶皱,,
Screen Shot 2018-06-08 at 2.48.15 PM.jpg,腐烂,50.1%,0.288,0.40,MEDIUM,腐烂,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.56.34 PM.jpg,腐烂,50.1%,0.102,0.40,MEDIUM,腐烂,虫伤,合格,,
Screen Shot 2018-06-07 at 2.20.56 PM.jpg,黑斑,50.1%,0.320,0.20,MEDIUM,黑斑,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.24.02 PM.jpg,碰伤,50.1%,0.301,0.40,MEDIUM,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.47.01 PM.jpg,褶皱,100.0%,1.000,0.00,LOW,褶皱,虫伤,合格,,
FreshApple (104).jpg,合格,100.0%,1.000,0.00,LOW,合格,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.32.10 PM.jpg,褶皱,100.0%,1.000,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.32.10 PM.jpg,褶皱,100.0%,0.999,0.00,LOW,褶皱,腐烂,虫伤,,
FreshApple (129).jpg,合格,99.9%,0.999,0.00,LOW,合格,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.51 PM.jpg,褶皱,99.9%,0.998,0.00,LOW,褶皱,虫伤,合格,,
Screen Shot 2018-06-07 at 2.39.20 PM.jpg,褶皱,99.9%,0.998,0.00,LOW,褶皱,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.39.53 PM.jpg,虫伤,99.9%,0.998,0.00,LOW,虫伤,褶皱,腐烂,,
FreshApple (132).jpg,合格,99.8%,0.998,0.00,LOW,合格,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.45.09 PM.jpg,褶皱,99.8%,0.998,0.00,LOW,褶皱,合格,腐烂,,
FreshApple (118).jpg,合格,99.8%,0.997,0.00,LOW,合格,黑斑,虫伤,,
FreshApple (133).jpg,合格,99.8%,0.997,0.00,LOW,合格,虫伤,碰伤,,
FreshApple (15).jpg,合格,99.8%,0.997,0.00,LOW,合格,虫伤,腐烂,,
FreshApple (131).jpg,合格,99.8%,0.997,0.00,LOW,合格,虫伤,黑斑,,
Screen Shot 2018-06-07 at 2.51.16 PM.jpg,褶皱,99.8%,0.997,0.00,LOW,褶皱,腐烂,黑斑,,
FreshApple (128).jpg,合格,99.8%,0.997,0.00,LOW,合格,褶皱,虫伤,,
Screen Shot 2018-06-07 at 2.44.59 PM.jpg,褶皱,99.7%,0.996,0.00,LOW,褶皱,虫伤,合格,,
FreshApple (125).jpg,合格,99.7%,0.996,0.00,LOW,合格,腐烂,褶皱,,
Screen Shot 2018-06-07 at 2.54.41 PM.jpg,褶皱,99.7%,0.996,0.00,LOW,褶皱,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.40.13 PM.jpg,褶皱,99.7%,0.995,0.00,LOW,褶皱,合格,腐烂,,
FreshApple (122).jpg,合格,99.7%,0.995,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (91).jpg,合格,99.7%,0.995,0.00,LOW,合格,褶皱,虫伤,,
FreshApple (123).jpg,合格,99.6%,0.995,0.00,LOW,合格,黑斑,虫伤,,
FreshApple (103).jpg,合格,99.6%,0.995,0.00,LOW,合格,褶皱,黑斑,,
FreshApple (102).jpg,合格,99.6%,0.993,0.00,LOW,合格,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.44.59 PM.jpg,褶皱,99.5%,0.993,0.00,LOW,褶皱,虫伤,合格,,
FreshApple (100).jpg,合格,99.5%,0.992,0.00,LOW,合格,褶皱,虫伤,,
FreshApple (99).jpg,合格,99.5%,0.993,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (112).jpg,合格,99.3%,0.991,0.00,LOW,合格,虫伤,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.39.44 PM.jpg,虫伤,99.3%,0.989,0.00,LOW,虫伤,腐烂,碰伤,,
FreshApple (7).jpg,合格,99.2%,0.988,0.00,LOW,合格,裂果,虫伤,,
FreshApple (105).jpg,合格,99.2%,0.989,0.00,LOW,合格,黑斑,虫伤,,
FreshApple (120).jpg,合格,99.2%,0.990,0.00,LOW,合格,黑斑,虫伤,,
FreshApple (93).jpg,合格,99.2%,0.987,0.00,LOW,合格,褶皱,黑斑,,
FreshApple (127).jpg,合格,99.1%,0.986,0.00,LOW,合格,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.46.12 PM.jpg,褶皱,99.1%,0.985,0.00,LOW,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2_虫伤_pred_褶皱.jpg,虫伤,99.0%,0.987,0.00,LOW,虫伤,褶皱,碰伤,,
FreshApple (106).jpg,合格,99.0%,0.987,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (108).jpg,合格,99.0%,0.986,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (116).jpg,合格,99.0%,0.987,0.00,LOW,合格,虫伤,黑斑,,
Screen Shot 2018-06-07 at 2.22.00 PM.jpg,虫伤,99.0%,0.982,0.00,LOW,虫伤,褶皱,合格,,
Screen Shot 2018-06-07 at 2.16.18 PM.jpg,虫伤,98.9%,0.985,0.00,LOW,虫伤,褶皱,腐烂,,
FreshApple (173).jpg,合格,98.9%,0.985,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (92).jpg,合格,98.9%,0.982,0.00,LOW,合格,褶皱,黑斑,,
FreshApple (115).jpg,合格,98.9%,0.986,0.00,LOW,合格,褶皱,黑斑,,
FreshApple (111).jpg,合格,98.8%,0.984,0.00,LOW,合格,虫伤,褶皱,,
FreshApple (114).jpg,合格,98.7%,0.981,0.00,LOW,合格,虫伤,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.45.44 PM.jpg,褶皱,98.6%,0.976,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.16.18 PM.jpg,虫伤,98.6%,0.979,0.00,LOW,虫伤,褶皱,腐烂,,
FreshApple (107).jpg,合格,98.6%,0.978,0.00,LOW,合格,虫伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.50.33 PM.jpg,腐烂,98.6%,0.978,0.00,LOW,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.45.09 PM.jpg,褶皱,98.5%,0.977,0.00,LOW,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.45.44 PM.jpg,褶皱,98.5%,0.972,0.00,LOW,褶皱,腐烂,虫伤,,
